Date,Assigned to,Newspaper,Link,Section,Key Words,Opinion adm,Opinion CDC,Briefly observation,Abstractor,
2/2/2020,C,The New York Times,https://www.nytimes.com/2020/02/02/health/coronavirus-pandemic-china.html?searchResultPosition=5,Health,pandemic-coronavirus,nada,nada,fear the virus become a pandemic,,
2/2/2020,C,The New York Times,https://www.nytimes.com/2020/02/02/us/politics/trump-super-bowl-interview-coronavirus.html?searchResultPosition=6,Politics,shut down - ban,-1,nada,shut down coming from China,,
2/2/2020,C,The New York Times,https://www.nytimes.com/2020/02/02/world/asia/philippines-coronavirus-china.html?searchResultPosition=7,Asia Pacific,man dies,nada,nada,the first known fatality outside china,,
2/2/2020,C,The New York Times,https://www.nytimes.com/2020/02/02/us/coronavirus-airports.html?searchResultPosition=8,US,quarantine. cut off,nada,nada,two wek quarantine those coming grom china,,
2/2/2020,C,The New York Times,https://www.nytimes.com/2020/02/02/nyregion/coronavirus-new-york-city.html?searchResultPosition=9,New York,suspected cases,nada,nada,three suspecfted cases in ny,,
2/2/2020,C,The New York Times,https://www.nytimes.com/2020/02/02/business/global-markets.html?searchResultPosition=10,Business,stock market fell,nada,nada,stocks in China plunged after investors returned from a long holiday,,
2/9/2020,N,The New York Times,https://www.nytimes.com/2020/02/09/world/asia/coronavirus-family-china.html?searchResultPosition=1,Asia Pacific,Coronavirus response in Wuhan,0,Nada,"One family's experience contracting coronavirus in Wuhan, hospitals overwhelmed",,
2/9/2020,N,The New York Times,https://www.nytimes.com/2020/02/09/world/asia/china-coronavirus-tests.html?searchResultPosition=2,Asia Pacific,coronavirus testing in China,0,0,"Teting and diagnosis in China, CT authorized as diagnostic and reason to quarantine",,
2/9/2020,N,The New York Times,https://www.nytimes.com/2020/02/09/world/asia/china-coronavirus-sars.html?searchResultPosition=3,Asia Pacific,cases now in Hong Kong,0,0,"Coronavirus spreads in China, WHO involved, quarantine in place, higher than SARS worldewide",,
2/9/2020,N,The New York Times,https://www.nytimes.com/2020/02/09/world/asia/coronavirus-china.html?searchResultPosition=4,Asia Pacific,spreading in Europe,0,0,"Japan cruie ship, cases in Europe, US evacuate from China, Dr. Li death, Chinese auto plants shut down production",,
2/9/2020,N,The New York Times,https://www.nytimes.com/2020/02/09/business/this-week-in-business-coronavirus-trade.html?searchResultPosition=5,Business,China tariffs on US goods,0,Nada,China had plan to cut tariffs on US goods. Now decrease in impors.,,
2/9/2020,N,The New York Times,https://www.nytimes.com/2020/02/09/world/asia/japan-ship-coronavirus.html?searchResultPosition=6,Asia Pacific,"Diamond Princess cruise ship, Japan",0,Nada,"Diamond Prine=cess cruise ship in Japan, quarantined, 70 cases so far - largest concentration outside China",,
2/9/2020,N,The New York Times,https://www.nytimes.com/2020/02/09/briefing/2020-campaign-china-the-oscars.html?searchResultPosition=7,Briefing,Xi facing public discontet,0,Nada,"President Xi of China facing criticism, >800 deaths in China",,
2/9/2020,N,The New York Times,https://www.nytimes.com/2020/02/09/briefing/2020-campaign-china-the-oscars.html?searchResultPosition=7,Weekend Briefing,Week review of above ,0,Nada,"China cases, Diamond Princess, deaths, Xi criticized/may be blamed",,
2/9/2020,N,The New York Times,https://www.nytimes.com/2020/02/09/briefing/thailand-coronavirus-trump.html?searchResultPosition=8,Briefing,Brief recap of the week,0,Nada,"Brief recap of above (cases in China, Xi, Diamond Princess)",,
2/9/2020,N,The New York Times,https://www.nytimes.com/2020/02/09/us/politics/qanon-trump-conspiracy-theory.html?searchResultPosition=9,Politics,Deaths supass SARS,0,0,"Death toll supasses SARS, Diamone Princess, cases in Britian and Spain",,
2/16/2020,A,The New York Times,https://www.nytimes.com/2020/02/16/world/asia/coronavirus-cruise-americans.html?searchResultPosition=3,Asia Pacific,"Ship Passengers Disperse; daunting control, opposed positions",-1,0,"Hundreds of people disembarked in Cambodia and headed for airports. “We anticipated glitches, but I have to tell you I didn’t anticipate one of this magnitude,” said Dr. William Schaffner,  infectious disease specialist at Vanderbilt University Medical Center.
With more than a thousand passengers from the Westerdam headed for home,  it may be harder than ever to keep the coronavirus outbreak contained to China. “Is there any Cambodian or foreigner in Cambodia who has died of the disease?” Prime Minister Hun Sen said earlier this month. “The real disease happening in Cambodia right now is the disease of fear.” President Trump tweeted his thanks to Cambodia for allowing the ship, more than 600 of whose passengers were Americans, to dock.",,
2/16/2020,A,The New York Times,https://www.nytimes.com/2020/02/16/world/asia/coronavirus-japan-cruise-americans.html?searchResultPosition=4,Asia Pacific,"Americans from cruise, flight to US",-1,Nada,"Mr. Haering said he was angry that the United States government had not acted earlier.“If they were going to fly people out, they should have flown them out in the very beginning,” he said. “That way, we wouldn’t have sat there for 12 days, all of us getting sicker. I wouldn’t have been in the hospital; I would have been in the U.S. getting the treatment that I needed, and I could have been in quarantine there.”",,
2/16/2020,A,The New York Times,https://www.nytimes.com/2020/02/16/business/amazon-trump-jedi.html?searchResultPosition=5,Business,Amazon won  to D. Trump. Covid dampening Economy,-1,Nada,"Michael R. Bloomberg, the billionaire businessman and former New York mayor, was all over Instagram this past week after he hired dozens of the internet’s biggest influencers to produce tongue-in-cheek memes to promote his bid for the presidency. He’s also poured money into Facebook ads, outspending Mr. Trump — whose campaign relies heavily on social media — by about five to one. And he’s paying his staff handsomely, in some cases nearly double what other candidates are offering. ",,
2/16/2020,A,The New York Times,https://www.nytimes.com/2020/02/16/us/coronavirus-american-mood.html?searchResultPosition=6,U.S,Americans confidents; Anti Asian discrimination,0,Nada,"“If you are already conditioned to fear China or Chinese people, this gives you another reason,” said Vincent Pan, co-executive director of Chinese for Affirmative Action, a civil rights organization in San Francisco",,
2/23/2020,J,The New York Times,https://www.nytimes.com/2020/02/23/world/asia/china-coronavirus.html?searchResultPosition=3,Asia Pacific,Locked down in cities in Korea,Nada,Nada,South Korea Raises Threat Alert Level,,
2/23/2020,J,The New York Times,https://www.nytimes.com/2020/02/23/reader-center/coronavirus-live-briefing.html?searchResultPosition=4,Reader Center,"Time insider, daily live briefing",Nada,Nada,Why NYT do  daily live briefing about Covid,,
2/23/2020,J,The New York Times,https://www.nytimes.com/2020/02/23/world/asia/china-religion-coronavirus-donations.html?searchResultPosition=5,Asia Pacific,"China´s religious organizations, donation",Nada,Nada,China´s religious organization maid foundraising drive to buy medical supplies,,
2/23/2020,J,The New York Times,https://www.nytimes.com/2020/02/23/style/milan-fashion-week-bottega-veneta-marni.html?searchResultPosition=6,Style,Fashion Milan Week,Nada,Nada,The last days of Milan Fashion Week took place as cases of the coronavirus crept closer,,
2/23/2020,J,The New York Times,https://www.nytimes.com/2020/02/23/world/asia/south-korea-coronavirus-moon.html?searchResultPosition=7,Asia Pacific,"Korea, highets alert level",Nada,Nada,"president raised the country’s alert level to the highest, which empowered the government to lock down cities, bar visitors from China",,
2/23/2020,J,The New York Times,https://www.nytimes.com/2020/02/23/world/europe/italy-coronavirus.html?searchResultPosition=8,Europe,Italy lock down,Nada,Nada,The cases increase in Europe,,
2/23/2020,J,The New York Times,https://www.nytimes.com/2020/02/23/business/economy/coronavirus-china-migrant-workers.html?searchResultPosition=9,Economy,China Rural migrants,Nada,Nada,the authorities in China impose strict controls to stem the spread of the virus.,,
2/23/2020,J,The New York Times,https://www.nytimes.com/video/world/asia/100000006970549/coronavirus-chinese-citizens.html?searchResultPosition=10,Asia Pacific,outbreak Chinese censors,Nada,Nada,citizens are dodging censorship by creating a digital archive of deleted posts.,,
2/23/2020,J,The New York Times,https://www.nytimes.com/2020/02/23/us/coronavirus-quarantine-california-alabama.html?searchResultPosition=11,U.S,evacuees resistance,Nada,Nada,house evacuees with the virus in federal or state facilities are meeting with resistance from local political leaders.,,
3/1/2020,C,The New York Times,https://www.nytimes.com/2020/03/01/world/coronavirus-news.html?searchResultPosition=4,us,second death,nada,nada,second death confirmed in the US,,
3/1/2020,C,The New York Times,https://www.nytimes.com/2020/03/01/world/europe/coronavirus-movie-italy-decameron.html?searchResultPosition=5,society,movie palgue concern,nada,nada,making a film about a plague collided with real life events,,
3/1/2020,C,The New York Times,https://www.nytimes.com/2020/03/01/business/the-week-in-business-it-was-all-about-the-coronavirus.html?searchResultPosition=6,economics,"stock markets, investors",nada,nada,Investors are concerned that the coronavirus could seriously rattle the U.S. economy,,
3/1/2020,C,The New York Times,https://www.nytimes.com/article/prepare-for-coronavirus.html?searchResultPosition=7,health,tips for covid protection,nada,0,there are different meausres to be taken in order to protect from covid 19,,
3/1/2020,C,The New York Times,https://www.nytimes.com/2020/03/01/business/coronavirus-working-from-home.html?searchResultPosition=8,health,workplace home,nada,nada,a growing number of american workers could be asked to work from home,,
3/1/2020,C,The New York Times,https://www.nytimes.com/2020/03/01/upshot/coronavirus-sick-days-service-workers.html?searchResultPosition=9,society,"sick leave, disparty for workers ",nada,nada,"The biggest disparity for workers is access to health care, some workers cannot afford the meausers for avoiding coronavirus",,
3/1/2020,C,The New York Times,https://www.nytimes.com/2020/03/01/health/coronavirus-washington-spread.html?searchResultPosition=10,health,"coronavirus spread, gene sequencing",nada,0,"Two cases detected weeks apart in Washington State had genetic links, suggesting that many more people in the area may be infected.",,
3/8/2020,N,The New York Times,https://www.nytimes.com/2020/03/08/briefing/coronavirus-mick-mulvaney-black-hole-your-weekend-briefing.html?searchResultPosition=1,Briefing,"Trump administration’s response to the coronavirus, ",-1,-1,"references other articles that week, Trump worries letting ppl off cruise ship will make numbers look bad, Trump minimizes",,
3/8/2020,N,The New York Times,https://www.nytimes.com/2020/03/08/technology/coronavirus-misinformation-social-media.html?searchResultPosition=1,Technology,"False info on social media re COVID, around world",nada,nada,"much false info on social media, WHO and others trying to counteract",,
3/8/2020,N,The New York Times,https://www.nytimes.com/2020/03/08/arts/television/snl-daniel-craig-elizabeth-warren-weeknd.html?searchResultPosition=5,Television,SNL spoofs the dem primary,-1,nada,"SNL is a comedy show, poked fun at Trump and the democratic priamry.  Elizabeth Warren was a guest",,
3/8/2020,N,The New York Times,https://www.nytimes.com/2020/03/08/health/coronavirus-gyms-safety.html?searchResultPosition=7,Health,Coronavirus transmission,nada,0,"Transmission of virus in gyms, exercise studios",,
3/8/2020,N,The New York Times,https://www.nytimes.com/2020/03/08/business/saudi-arabia-oil-prices.html?searchResultPosition=8,Business,Oil Prices,nada,nada,"Oil prices drop, fleeting reference to coronavirus",,
3/8/2020,N,The New York Times,https://www.nytimes.com/2020/03/08/world/asia/coronavirus-cruise-ship.html?searchResultPosition=9,Asia-Pacific,Corona virus spreads on additional cruise ship,nada,nada,"Inadequate precautions on Japanese cruise ship after prior cases on the Diamond Princess,  Poor communication and prevention",,
3/8/2020,N,The New York Times,https://www.nytimes.com/2020/03/08/us/coronavirus-schools-san-francisco-seattle.html?searchResultPosition=10,US,Coronavirus shuts down schools,nada,nada,"More schools shut down, limit sports, families impacted",,
3/8/2020,N,The New York Times,https://www.nytimes.com/2020/03/08/health/fauci-coronavirus.html?searchResultPosition=4,Heath,Fauchi is authority on COVID,-1,0,Fauchi corrects administration diplomatically,,
3/8/2020,N,The New York Times,https://www.nytimes.com/2020/03/08/opinion/coronavirus-altruism.html?searchResultPosition=5,Opinion,Stockpiling d/t fear of pandemic.  How to encourage altruism,nada,nada,People more likely to modify behavior if they think their behavior (going to work ill) could endanger others,,
3/8/2020,N,The New York Times,https://www.nytimes.com/2020/03/08/briefing/coronavirus-italy-lombardy-china-cases.html?searchResultPosition=6,Briefing,"Cases decrease in China, skyrocket in Italy",nada,nada,Also more cases in US,,
3/8/2020,N,The New York Times,https://www.nytimes.com/2020/03/08/sports/olympics/coronavirus-olympics.html?searchResultPosition=8,Olympics,Olympics still planned for summer 2020 but safety of mass events questioned,nada,nada,"Recommendations for safer Olympics, acknowledge things could change ",,
3/8/2020,N,The New York Times,https://www.nytimes.com/2020/03/08/arts/the-spanish-flu.html?searchResultPosition=9,Arts,Mutter medical history museum in Philadelphia- Influenza pandemic 1918,nada,nada,Comparisons to the current corona virus epidemic,,
3/8/2020,N,The New York Times,https://www.nytimes.com/2020/03/08/us/politics/trump-coronavirus.html?searchResultPosition=10,Politics,Criticism of Trumps handling of the pandemic,-1,nada,"Trump is polarizing, unknowledgeable and acts like a medical authority",,
3/8/2020,N,The New York Times,https://www.nytimes.com/2020/03/08/world/coronavirus-news.html?searchResultPosition=1,World,"US cases top 500, 22 deaths, cases rise around the world",0,0,Warning of regional lockdown,,
3/8/2020,N,The New York Times,https://www.nytimes.com/2020/03/08/nyregion/coronavirus-newyork.html?searchResultPosition=14,New York,"NYC gov Cuomo criticizes CDC for not doing more tests, authorizing more labs",nada,"-1schools close, cases increase in NYC",,,
3/8/2020,N,The New York Times,https://www.nytimes.com/2020/03/08/opinion/trump-coronavirus.html?searchResultPosition=23,Opinion,"Trump is a ""lying machine"", self centered, more of a threat than the virus-1",nada,"Majority of republicans see Trump as intelligent, most democrats see him as lacking morality",,,
3/8/2020,N,The New York Times,https://www.nytimes.com/2020/03/08/world/europe/italy-coronavirus-quarantine.html?searchResultPosition=22,Europe,Northern Italy shuts down,nada,nada,Northern Italy in quarantine,,
3/8/2020,N,The New York Times,https://www.nytimes.com/2020/03/08/nyregion/aqueduct-racetrack-robbery.html?searchResultPosition=21,New York,Men in masks rob racetrack in NY,nada,nada,"""Covid bandits"" in masks",,
3/8/2020,N,The New York Times,https://www.nytimes.com/2020/03/08/business/coronavirus-markets-federal-reserve.html?searchResultPosition=13,Business,Coronavirus impacts stock market,nada,nada,stocks fall,,
3/8/2020,N,The New York Times,https://www.nytimes.com/2020/03/08/nyregion/coronavirus-nyc.html?searchResultPosition=2,New York,"Cases in NYC climb, anxiety ensues",nada,nada,"2200 in NY quaerantine, 105 cases, 13 cases in NYC.  Ppl taking precautions and some are paranoid",,
3/8/2020,N,The New York Times,https://www.nytimes.com/2020/03/07/us/coronavirus-nursing-home.html?searchResultPosition=6,US,Nursing Home related case in Washington state,1,nada,70/180 workers in WA NH test positive,,
3/8/2020,N,The New York Times,https://www.nytimes.com/2020/03/08/sports/soccer/uswnt-equal-pay-letter.html?searchResultPosition=4,Sports,US Women's Soccer,nada,nada,not Covid related,,
3/8/2020,N,The New York Times,https://www.nytimes.com/2020/03/08/opinion/sanders-democratic-primary.html?searchResultPosition=6,Opinion,2020 Democratic Primary,nada,nada,Progressives need to care more about winning,,
3/8/2020,N,The New York Times,https://www.nytimes.com/2020/03/08/arts/tea-history-politics.html?searchResultPosition=7,Arts,History of Tea,nada,nada,"Metropolitan Museum of Art features tea and its history, political significance",,
3/8/2020,N,The New York Times,https://www.nytimes.com/2020/03/08/opinion/queen-esther-purim.html?searchResultPosition=9,Opinion,"Purim, Jewish tradition",nada,nada,Paradox of Jewish fragility and heroism,,
3/8/2020,N,The New York Times,https://www.nytimes.com/2020/03/08/opinion/nashville-tornado.html?searchResultPosition=10,Opinion,Nashville tornados,nada,nada,Nashvill community response to the tornado devastation,,
3/8/2020,N,The New York Times,https://www.nytimes.com/2020/03/08/crosswords/daily-puzzle-2020-03-09.html?searchResultPosition=11,Crosswords,Puzzle,nada,nada,"A puzzle for readers to solve, unrelated to COVID",,
3/8/2020,N,The New York Times,https://www.nytimes.com/2020/03/08/learning/whats-going-on-in-this-picture-march-9-2020.html?searchResultPosition=13,Learning Network,Visusal Learning Strategies,nada,nada,NYT posts a picture and asks readers to react to it,,
3/8/2020,N,The New York Times,https://www.nytimes.com/2020/03/08/us/politics/guantanamo-prisoner-mental-health.html?searchResultPosition=14,US,Medical evaluation for Guantanamo prisioner,nada,nada,Judge orders Saudi prisioner to have medical panal examination for torture,,
3/8/2020,N,The New York Times,https://www.nytimes.com/2020/03/08/nyregion/coronavirus-connecticut.html?searchResultPosition=7,NY Region,First case in CN,0,0,first case identified in CN,,
3/8/2020,N,The New York Times,https://www.nytimes.com/2020/03/07/us/coronavirus-cpac.html?searchResultPosition=10,World,"CPAC - conservative Politial Action Committee, Trump, Pence, Coronavirus",-1,nada,,,
3/15/2020,A,The New York Times,https://www.nytimes.com/2020/03/15/world/coronavirus-live.html?searchResultPosition=4,World,"gatherings <50, Lowering interest rates",1,1,"“This recommendation is made in an attempt to reduce introduction of the virus into new communities,” it said, “and to slow the spread of infection in communities already affected by the virus.”",,
3/15/2020,A,The New York Times,https://www.nytimes.com/2020/03/15/us/airports-coronavirus.html?searchResultPosition=5,U.S,"Airports controls, angry passengers, sense of chaos",-1,Nada,"Chad Wolf, the acting secretary of the Department of Homeland Security, acknowledged that an “unacceptable” situation had unfolded at a “limited number” of airports. “We continue to surge personnel,” he said, adding that the average wait time was now 30 minutes",,
3/15/2020,A,The New York Times,https://www.nytimes.com/2020/03/15/us/politics/joe-biden-bernie-sanders-issues.html?searchResultPosition=6,Politics,"Democrat presidential debate, primary",-1,Nada,,,
3/15/2020,A,The New York Times,https://www.nytimes.com/interactive/2020/03/15/business/economy/coronavirus-worker-risk.html?searchResultPosition=7,Economy,"Health Workers, risk levels of various jobs",Nada,Nada,Health care workers are at the greatest risk — they can encounter diseases and infections daily and typically work in close proximity to one another and their patients. Many are already under quarantine because of exposure to the virus.,,
3/15/2020,A,The New York Times,https://www.nytimes.com/2020/03/15/nyregion/coronavirus-ny-church.html?searchResultPosition=8,New York,Sermons live stream,Nada,Nada,"The coronavirus outbreak forced the cancellation of religious services across New York and much of the country this weekend, but faith leaders have stepped unto the breach in an effort to comfort and lead communities that are increasingly anxious and unsure about where to turn. On Sunday, ministers preached messages of calm and compassion to empty churches as their congregants watched on live stream, isolated at home by public health warnings that convinced the Catholic Church and several major Protestant denominations to shut their doors.",,
3/15/2020,A,The New York Times,https://www.nytimes.com/2020/03/15/business/economy/us-china-tariffs-coronavirus.html?searchResultPosition=9,Economy,lifting tariffs,0,Nada,"In an interview with C-SPAN on Friday morning, Steven Mnuchin, the Treasury secretary, said “general tariff relief is not on the table.”",,
3/15/2020,A,The New York Times,https://www.nytimes.com/2020/03/15/us/united-states-coronavirus-response.html?searchResultPosition=10,U.S,"US, individual rights, limited federal power, decentralized public health system",Nada,Nada,"“It’s totally ad hoc,” Mr. Norton said. “There’s no science behind it, or reasoning. It’s not like we were following someone’s instructions.” Without clear guidance from the government, “it feels like we’ve been left on our own to decide what would be best,” he said",,
3/15/2020,A,The New York Times,https://www.nytimes.com/2020/03/15/business/economy/coronavirus-economy-impact.html?searchResultPosition=11,Economy,early signs of a crisis,Nada,Nada,"“This hits the heart of the economy, and it hits the economy on all sides,” said Diane Swonk, chief economist at Grant Thornton. “It’s not just that we’re slowing down things. We’re actually hitting the pause button, and there is no precedent, there is no mold for that.”",,
3/15/2020,A,The New York Times,https://www.nytimes.com/2020/03/15/world/middleeast/netanyahu-trial-coronavirus.html?searchResultPosition=12,Middle East,Israeli elections,Nada,Nada,,,
3/15/2020,A,The New York Times,https://www.nytimes.com/2020/03/15/business/saudi-aramco-profit.html?searchResultPosition=14,Business,Oil Prices Fall,Nada,Nada,prices have collapsed following the coronavirus outbreak.,,
3/15/2020,A,The New York Times,https://www.nytimes.com/2020/03/15/nyregion/new-york-coronavirus.html?searchResultPosition=15,New York,Public school close,Nada,Nada,"“I’m very, very concerned that we see a rapid spread of this disease, and it’s time to take more dramatic measures,” Mayor Bill de Blasio said late Sunday afternoon. “This is a decision I have taken with no joy and a lot of pain.”",,
3/15/2020,A,The New York Times,https://www.nytimes.com/article/2020-campaign-primary-calendar-coronavirus.html?searchResultPosition=16,Politics,"Posponed Primaries, vote-by-mail ",-1,Nada,"As the coronavirus pandemic upends the presidential campaign, states across the country have postponed primary elections and expanded vote-by-mail options, citing the difficulty of holding elections during the outbreak",,
3/15/2020,A,The New York Times,https://www.nytimes.com/2020/03/15/opinion/andrew-cuomo-coronavirus-trump.html?searchResultPosition=17,Opinion,"testing, reducing gatherings, closing of schools and businesses has federal implications, imminent failure of hospital systems",-1,Nada,"Every country affected by this crisis has handled it on a national basis. The United States has not. State and local governments alone simply do not have the capacity or resources to do what is necessary, and we don’t want a patchwork quilt of policies. In short: Localize testing, federalize shutdowns and task the Army Corps of Engineers to expand hospital capacity.",,
3/15/2020,A,The New York Times,https://www.nytimes.com/2020/03/15/well/family/coronavirus-college-visits-high-school-students.html?searchResultPosition=18,Family,"undergraduate onsite visits cancelled, virtual tour",Nada,Nada,"Most prospective student visits, including events and overnights for admitted students, are off the table for now. With campuses closed, frustrated high school juniors face tour cancellations, and seniors won’t be able to set foot on most campuses to feel the vibe before their deposits are due on May 1, National College Decision Day.",,
3/15/2020,A,The New York Times,https://www.nytimes.com/2020/03/15/us/politics/veterans-affairs-coronavirus.html?searchResultPosition=19,Politics,mixed messages,-1,Nada,"The Department of Veterans Affairs, legally designated as the backup health care system in national emergencies, is preparing to absorb the overflow of coronavirus patients from private hospitals if they become strained to the breaking point. “Nobody has asked for our help at this point, but the American people should know we are ready,” said Dr. Richard A. Stone, who is in charge of the Veterans Health Administration.",,
3/15/2020,A,The New York Times,https://www.nytimes.com/2020/03/15/nyregion/coronavirus-nyc-shutdown.html?searchResultPosition=20,New York,shutdown,Nada,0,"“Our lives are all changing in ways that were unimaginable just a week ago,” Mr. de Blasio said in a statement Sunday night. “This is not a decision I make lightly. These places are part of the heart and soul of our city.”",,
3/15/2020,A,The New York Times,https://www.nytimes.com/2020/03/15/movies/coronavirus-movie-theaters.html?searchResultPosition=21,Movies,"closure of  cultural institutions, open cinemas",Nada,Nada,"“I figured there wouldn’t be many people here,” Donovan said. “I’m glad it’s open because I’ve got nothing else to do.”",,
3/15/2020,A,The New York Times,https://www.nytimes.com/2020/03/15/nyregion/coronavirus-anxiety-confusion.html?searchResultPosition=22,New York,"creeping uncertainty, national emergency",0,Nada,"This is life in a pandemic, when the emergence of the potentially fatal coronavirus has spawned strains of uncertainty: about the progression of the new virus, about the government’s response, about the open-ended nature of our altered lifestyles. About one another.",,
3/15/2020,A,The New York Times,https://www.nytimes.com/2020/03/15/world/europe/coronavirus-inequality.html?searchResultPosition=23,Europe,"economic inequality, ",Nada,Nada,"“Pre-existing social vulnerabilities only get worse following a disaster, and this is such a perfect example of that.”",,
3/15/2020,A,The New York Times,https://www.nytimes.com/2020/03/15/world/europe/coronavirus-borders-fear.html?searchResultPosition=24,Europe,"sense of insecurity, fear and fragmentation",Nada,Nada,"Today, Europeans are told to hide away, erecting borders between countries, inside their cities and neighborhoods, around their homes — to protect themselves from their neighbors, even from their grandchildren. Confronting a virus that respects no borders, this modern Europe without borders is building them everywhere. ",,
3/15/2020,A,The New York Times,https://www.nytimes.com/2020/03/15/technology/microsoft-coronavirus-response.html?searchResultPosition=25,Technology,"Home office, Microsoft, Amazon",Nada,Nada,"Four days later, he and his executive team told tens of thousands of Microsoft employees in the Seattle area that they could work at home. The day after that, they insisted that workers work from home, making the software giant one of the first major employers in the United States to do so.",,
3/15/2020,A,The New York Times,https://www.nytimes.com/2020/03/15/us/politics/coronavirus-economy-dodd-frank.html?searchResultPosition=26,Politics,Deep recession,0,Nada,Treasury Secretary Steven Mnuchin said on Sunday that he would ask Congress to reinstate powers that were used during the 2008 financial crisis to support the economy as the coronavirus threatens to grind business activity in the United States to a halt.,,
3/15/2020,A,The New York Times,https://www.nytimes.com/2020/03/15/us/politics/cnn-democratic-debate-coronavirus.html?searchResultPosition=27,Politics,Safe presidential debate,Nada,Nada,"There will be no live audience. Only a dozen people will be physically present in the Washington television studio where the debate is taking place: two candidates, three moderators, six camera operators and a floor director — the TV equivalent of a stage manager.",,
3/15/2020,A,The New York Times,https://www.nytimes.com/2020/03/15/dining/farmers-market-coronavirus.html?searchResultPosition=28,Food,"market, no social distance, hand-washing station, less traffic",Nada,Nada,"Christine Pagtalunan, the market’s coordinator, couldn’t say for sure if it would return four days from now, as it usually does. ",,
